transaction_id,customer_id,transaction_date,source_system,order_or_invoice_id,gross_amount,fee_amount,net_amount,payment_status,transaction_type,category,payout_status
500035,1028,2025-02-22,NetSuite,974177,1053.36,30.55,1022.81,paid,sale,service,pending
500036,1018,2025-02-05,Shopify,947472,771.29,23.29,748.0,paid,sale,wholesale,paid_out
500037,1004,2025-04-01,PayPal,963372,9604.16,470.6,9133.56,paid,sale,service,paid_out
500038,1002,2025-06-15,QuickBooks,960910,9065.61,407.05,8658.56,pending,sale,subscription,paid_out
500039,1013,2025-09-11,Stripe,978139,4329.29,110.4,4218.89,paid,sale,product,paid_out
500040,1007,2025-02-13,Stripe,993302,1586.1,51.07,1535.03,paid,sale,service,paid_out
500041,1002,2025-04-24,QuickBooks,945056,6639.61,181.26,6458.35,paid,sale,service,paid_out
500042,1008,2025-12-26,Shopify,997370,3558.6,103.91,3454.69,paid,sale,product,paid_out
500043,1001,2025-04-21,QuickBooks,913176,9647.44,273.02,9374.42,paid,sale,product,paid_out
500044,1025,2025-06-04,NetSuite,991411,38.99,1.4,37.59,chargeback,adjustment,subscription,paid_out
500045,1004,2025-01-07,NetSuite,962616,8166.58,278.48,7888.1,paid,sale,subscription,paid_out
500046,1013,2025-10-23,PayPal,932530,3332.51,71.98,3260.53,paid,sale,product,paid_out
500047,1005,2025-09-25,Stripe,974531,6423.4,303.83,6119.57,paid,sale,product,paid_out
500048,1009,2025-11-17,NetSuite,900350,2029.46,80.77,1948.69,paid,sale,service,paid_out
500049,1010,2025-01-17,Shopify,934675,1541.64,63.52,1478.12,paid,sale,wholesale,paid_out
500050,1003,2025-02-28,PayPal,921747,7901.06,311.3,7589.76,paid,sale,service,paid_out
500051,1029,2025-08-13,NetSuite,964722,208.42,8.48,199.94,refunded,refund,service,paid_out
500052,1016,2025-11-06,QuickBooks,902719,552.01,12.53,539.48,paid,sale,subscription,paid_out
500053,1027,2025-03-31,NetSuite,983202,718.99,28.4,690.59,paid,sale,service,paid_out
500054,1024,2025-07-29,PayPal,937777,439.14,17.61,421.53,paid,sale,subscription,paid_out
500055,1011,2025-08-21,NetSuite,900150,896.27,24.74,871.53,paid,sale,subscription,pending
500056,1025,2025-04-07,NetSuite,935003,789.7,30.56,759.14,paid,sale,wholesale,paid_out
500057,1002,2025-03-04,Stripe,901792,3259.82,126.81,3133.01,paid,sale,wholesale,paid_out
500058,1003,2025-03-02,Shopify,954459,8829.39,217.2,8612.19,paid,sale,wholesale,paid_out
500059,1001,2025-10-10,NetSuite,909150,4301.78,110.56,4191.22,paid,sale,service,paid_out
500060,1005,2025-09-17,PayPal,986499,5404.55,108.63,5295.92,paid,sale,wholesale,paid_out
500061,1006,2025-06-26,NetSuite,991422,1696.58,72.78,1623.8,refunded,refund,subscription,pending
500062,1004,2025-06-12,Stripe,985461,8246.99,339.78,7907.21,paid,sale,product,paid_out
500063,1019,2025-09-15,Shopify,,1448.9,43.47,1405.43,paid,sale,subscription,paid_out
500064,1005,2025-08-29,NetSuite,943065,10033.73,280.94,9752.79,paid,sale,service,paid_out
500065,1004,2025-11-17,Shopify,982727,13255.84,567.35,12688.49,paid,sale,subscription,paid_out
500066,1010,2025-08-11,Stripe,939251,4902.52,209.83,4692.69,paid,sale,service,paid_out
500067,1002,2025-07-03,NetSuite,922280,5417.53,132.19,5285.34,paid,sale,product,pending
500068,1018,2025-09-12,QuickBooks,901231,1371.42,33.33,1338.09,paid,sale,product,paid_out
500069,1001,2025-02-07,NetSuite,932780,6975.57,212.06,6763.51,paid,sale,wholesale,paid_out
500070,1030,2025-02-24,Stripe,986275,374.88,13.95,397.44,chargeback,adjustment,wholesale,paid_out
500071,1016,2025-05-27,Shopify,932850,1169.22,31.45,1137.77,paid,sale,subscription,paid_out
500072,1003,2025-11-18,NetSuite,911813,12343.89,361.68,11982.21,paid,sale,product,paid_out
500073,1001,2025-04-13,NetSuite,921567,4189.44,151.66,4037.78,paid,sale,service,held
500074,1019,2025-06-23,PayPal,988647,1029.56,35.01,994.55,paid,sale,service,paid_out
500075,1014,2025-02-16,QuickBooks,988125,4058.07,82.78,3975.29,paid,sale,subscription,paid_out
500076,1014,2025-12-12,NetSuite,929015,2173.08,45.2,2127.88,paid,sale,service,held
500077,1016,2025-11-29,NetSuite,912739,878.13,21.25,856.88,paid,sale,wholesale,paid_out
500078,1001,2025-07-09,NetSuite,920253,7679.22,324.83,7354.39,paid,sale,wholesale,paid_out
500079,1005,2025-05-24,QuickBooks,913022,3294.45,102.46,3191.99,refunded,refund,subscription,pending
500080,1002,2025-07-23,Stripe,927801,4660.49,228.36,4432.13,paid,sale,subscription,paid_out
500081,1022,2025-06-20,Shopify,927152,326.62,7.77,318.85,paid,sale,service,paid_out
500082,1012,2025-03-17,Stripe,970807,4048.9,153.45,3895.45,chargeback,adjustment,product,partial
500083,1005,2025-01-08,Stripe,916614,6224.18,272.0,5952.18,paid,sale,wholesale,paid_out
500084,1001,2025-08-18,PayPal,905683,10002.15,354.08,9648.07,paid,sale,service,held
500085,1005,2025-08-23,Stripe,914150,8790.07,183.71,8606.36,paid,sale,subscription,paid_out
500086,1005,2025-06-14,QuickBooks,942622,7203.48,158.48,7045.0,paid,sale,wholesale,paid_out
500087,1014,2025-09-16,NetSuite,972264,3224.42,74.16,3150.26,pending,sale,product,paid_out
500088,1012,2025-07-31,NetSuite,987177,1721.41,57.84,1663.57,paid,sale,subscription,paid_out
500089,1023,2025-02-16,PayPal,972924,1251.86,28.54,1223.32,paid,sale,service,pending
500090,1008,2025-12-10,QuickBooks,994510,1470.06,44.98,1425.08,paid,sale,service,pending
500091,1002,2025-02-23,PayPal,972910,8201.27,216.51,7984.76,refunded,sale,product,paid_out
500092,1014,2025-08-08,QuickBooks,903441,4303.2,211.72,4091.48,paid,sale,subscription,paid_out
500093,1015,2025-04-03,Shopify,918776,1729.72,74.2,1655.52,paid,sale,subscription,paid_out
500094,1010,2025-02-16,PayPal,994581,3857.5,102.22,3755.28,paid,sale,subscription,paid_out
500095,1016,2025-01-27,QuickBooks,955576,254.48,10.84,243.64,paid,sale,product,paid_out
500096,1008,2025-09-20,PayPal,987442,1012.18,33.3,978.88,paid,sale,subscription,paid_out
500097,1009,2025-01-04,Shopify,,1419.9,68.72,1351.18,paid,sale,product,paid_out
500098,1007,2025-07-14,Stripe,952044,2462.13,66.23,2395.9,paid,sale,wholesale,paid_out
500099,1001,2025-02-09,Shopify,915096,10758.99,401.31,10357.68,paid,sale,wholesale,paid_out
500100,1002,2025-12-20,QuickBooks,968676,15789.1,356.83,15432.27,paid,sale,product,paid_out
500101,1001,2025-06-20,Shopify,945793,8510.25,189.78,8320.47,paid,sale,product,paid_out
500102,1012,2025-02-22,NetSuite,923218,1159.0,30.02,1128.98,paid,sale,wholesale,paid_out
500103,1005,2025-12-15,NetSuite,982210,15844.34,584.66,15259.68,paid,sale,wholesale,pending
500104,1009,2025-11-20,QuickBooks,959233,2607.77,73.54,2534.23,paid,sale,subscription,paid_out
500105,1024,2025-11-27,Stripe,972655,1819.68,83.16,1736.52,paid,sale,wholesale,paid_out
500106,1004,2025-10-20,Stripe,913566,8866.54,262.45,8604.09,paid,sale,product,paid_out
500107,1006,2025-01-21,QuickBooks,948870,1614.85,53.45,1561.4,paid,sale,subscription,paid_out
500108,1015,2025-11-20,PayPal,994861,4778.02,105.12,4672.9,paid,sale,product,paid_out
500109,1003,2025-06-20,Stripe,986787,3173.49,126.62,3046.87,paid,sale,service,paid_out
500110,1002,2025-10-14,Stripe,996832,6390.11,279.25,6110.86,paid,sale,wholesale,pending
500111,1004,2025-09-18,Shopify,963736,6256.45,193.32,6063.13,paid,sale,subscription,held
500112,1003,2025-06-01,PayPal,904947,9009.88,207.23,8802.65,paid,sale,product,held
500113,1026,2025-11-02,QuickBooks,921697,812.93,20.24,792.69,paid,sale,product,pending
500114,1018,2025-08-16,PayPal,961474,925.63,39.43,886.2,paid,sale,wholesale,paid_out
500115,1012,2025-08-25,QuickBooks,926174,3962.47,171.57,3790.9,paid,sale,subscription,paid_out
500116,1022,2025-11-25,QuickBooks,916341,1027.42,31.95,995.47,paid,sale,wholesale,paid_out
500117,1018,2025-09-20,NetSuite,945820,242.34,8.02,234.32,paid,sale,service,paid_out
500118,1003,2025-05-01,Shopify,993677,6475.5,145.05,6330.45,paid,sale,subscription,paid_out
500119,1024,2025-05-27,QuickBooks,,1378.16,47.13,1331.03,paid,sale,product,paid_out
500120,1010,2025-03-18,PayPal,939472,2969.62,124.13,2845.49,paid,sale,wholesale,paid_out
500121,1018,2025-02-02,Stripe,931711,188.52,8.9,179.62,paid,sale,service,paid_out
500122,1024,2025-05-04,PayPal,968951,866.73,22.19,844.54,paid,sale,subscription,paid_out
500123,1005,2025-07-19,Stripe,946805,9230.99,196.62,9034.37,paid,sale,service,paid_out
500124,1002,2025-03-10,Shopify,960899,3399.02,123.72,3275.3,paid,sale,product,paid_out
500125,1003,2025-02-02,NetSuite,905492,9444.41,456.17,8988.24,paid,sale,wholesale,pending
500126,1007,2025-05-10,QuickBooks,985948,664.79,26.19,638.6,pending,sale,wholesale,paid_out
500127,1019,2025-07-24,QuickBooks,965211,953.17,44.61,908.56,chargeback,adjustment,subscription,paid_out
500128,1021,2025-08-06,NetSuite,910494,141.42,5.39,136.03,paid,sale,wholesale,paid_out
500129,1001,2025-03-27,Stripe,957008,9207.88,280.84,8927.04,pending,sale,subscription,paid_out
500130,1009,2025-12-10,NetSuite,918714,4716.33,145.73,4570.6,paid,sale,subscription,partial
500131,1006,2025-03-06,QuickBooks,979310,802.55,34.83,767.72,paid,sale,service,paid_out
500132,1003,2025-08-16,Shopify,932717,9867.76,367.08,9500.68,paid,sale,wholesale,paid_out
500133,1002,2025-09-23,NetSuite,980199,6482.89,239.22,6243.67,paid,sale,product,paid_out
500134,1005,2025-03-04,QuickBooks,989381,4221.56,93.72,4127.84,paid,sale,subscription,partial
500135,1027,2025-10-09,Shopify,983584,824.7,38.51,786.19,paid,sale,subscription,held
500136,1005,2025-04-13,PayPal,961263,10128.59,274.48,9854.11,paid,sale,subscription,paid_out
500137,1009,2025-02-03,Stripe,975353,1891.81,94.59,1797.22,paid,sale,wholesale,paid_out
500138,1014,2025-08-27,PayPal,923850,3560.49,107.88,3452.61,paid,sale,subscription,paid_out
500139,1005,2025-03-05,QuickBooks,968012,7662.92,222.99,7439.93,refunded,refund,product,paid_out
500140,1029,2025-11-22,Shopify,984015,2009.87,56.68,1953.19,paid,sale,product,paid_out
500141,1028,2025-12-04,PayPal,903718,1324.55,62.39,1262.16,refunded,refund,service,paid_out
500142,1004,2025-11-30,NetSuite,971509,6856.19,255.05,6601.14,paid,sale,product,held
500143,1008,2025-12-17,QuickBooks,960875,3258.38,109.48,3148.9,paid,sale,service,paid_out
500144,1004,2025-06-26,Shopify,961141,10011.61,239.28,9772.33,paid,sale,subscription,paid_out
500145,1004,2025-01-26,QuickBooks,920932,5611.91,176.78,5435.13,paid,sale,product,pending
500146,1001,2025-03-23,Shopify,951543,7484.39,264.95,7219.44,paid,sale,service,paid_out
500147,1011,2025-01-25,Shopify,,727.43,25.31,702.12,paid,sale,service,paid_out
500148,1009,2025-07-07,NetSuite,972512,3346.75,103.75,3243.0,paid,sale,service,paid_out
500149,1001,2025-11-16,Shopify,944444,12773.02,301.44,12471.58,paid,sale,product,pending
500150,1004,2025-11-05,PayPal,962094,10614.94,371.52,10243.42,paid,sale,product,paid_out
500151,1025,2025-06-17,PayPal,977820,1188.95,35.19,1153.76,paid,sale,wholesale,pending
500152,1004,2025-12-29,Stripe,940327,11292.85,977.96,10314.89,paid,sale,wholesale,paid_out
500153,1002,2025-05-16,PayPal,976483,11703.64,509.11,11194.53,paid,sale,wholesale,paid_out
500154,1008,2025-03-17,Shopify,957807,4197.48,114.59,4082.89,paid,sale,wholesale,paid_out
500155,1030,2025-09-14,NetSuite,918098,1168.08,55.6,1112.48,paid,sale,wholesale,paid_out
500156,1004,2025-06-10,QuickBooks,994493,9868.64,333.56,9535.08,paid,sale,wholesale,paid_out
500157,1013,2025-04-09,NetSuite,937880,4808.02,136.55,4671.47,refunded,refund,service,partial
500158,1015,2025-09-03,NetSuite,988686,2069.61,99.34,1970.27,paid,sale,service,paid_out
500159,1004,2025-03-16,PayPal,933612,5614.07,160.56,5453.51,paid,sale,service,paid_out
500160,1014,2025-10-15,Shopify,987796,3632.77,87.55,3545.22,paid,sale,subscription,paid_out
500161,1005,2025-02-21,NetSuite,972135,6719.71,278.87,6440.84,paid,sale,wholesale,paid_out
500162,1012,2025-11-30,Stripe,911725,1956.57,95.68,1860.89,paid,sale,product,held
500163,1012,2025-08-02,QuickBooks,964930,4470.1,113.09,4357.01,chargeback,adjustment,subscription,paid_out
500164,1009,2025-01-05,Shopify,984058,1842.76,70.21,1772.55,paid,sale,wholesale,paid_out
500165,1002,2025-05-20,QuickBooks,,4735.3,110.81,4624.49,paid,sale,product,paid_out
500166,1020,2025-03-31,Shopify,952538,926.16,36.31,889.85,paid,sale,wholesale,paid_out
500167,1005,2025-06-15,Stripe,943204,9709.06,196.12,9512.94,paid,sale,service,paid_out
500168,1003,2025-12-01,QuickBooks,989925,8730.36,236.59,8493.77,paid,sale,subscription,paid_out
500169,1001,2025-11-24,QuickBooks,920078,15743.24,454.98,15288.26,paid,sale,wholesale,paid_out
500170,1011,2025-12-26,Stripe,932435,4160.18,141.86,4018.32,paid,sale,wholesale,paid_out
500171,1013,2025-09-28,Shopify,966255,3666.95,81.77,3585.18,paid,sale,service,paid_out
500172,1001,2025-09-24,PayPal,958390,6976.56,281.85,6694.71,paid,sale,wholesale,held
500173,1009,2025-08-22,PayPal,933352,3037.6,111.78,2925.82,paid,sale,subscription,paid_out
500174,1003,2025-01-24,Shopify,961875,6813.28,279.34,6533.94,paid,sale,wholesale,held
500175,1012,2025-07-11,Shopify,989486,4222.68,133.01,4089.67,refunded,refund,service,paid_out
500176,1003,2025-03-02,NetSuite,900455,4606.26,166.29,4439.97,paid,sale,wholesale,paid_out
500177,1013,2025-09-30,NetSuite,995030,2206.74,59.36,2147.38,paid,sale,subscription,paid_out
500178,1006,2025-05-04,NetSuite,906380,1427.37,32.83,1394.54,paid,sale,product,paid_out
500179,1026,2025-10-04,QuickBooks,995881,345.47,15.86,329.61,paid,sale,product,paid_out
500180,1002,2025-06-04,Shopify,972970,9253.38,458.97,8794.41,paid,sale,wholesale,paid_out
500181,1005,2025-10-12,QuickBooks,941777,7460.59,367.06,7093.53,paid,sale,wholesale,pending
500182,1002,2025-04-05,NetSuite,960689,9789.74,334.81,9454.93,paid,sale,product,paid_out
500183,1026,2025-07-18,Stripe,912119,325.73,8.5,317.23,refunded,refund,service,pending
500184,1023,2025-07-13,Shopify,994936,865.87,32.99,832.88,paid,sale,service,paid_out
500185,1004,2025-06-05,PayPal,998871,9871.2,202.36,9668.84,refunded,refund,product,paid_out
500186,1013,2025-07-23,NetSuite,947088,3925.36,143.67,3781.69,paid,sale,wholesale,paid_out
500187,1019,2025-02-20,Shopify,941015,1209.15,50.42,1158.73,paid,sale,product,paid_out
500188,1010,2025-01-09,Shopify,943236,1673.48,80.33,1593.15,paid,sale,wholesale,paid_out
500189,1009,2025-10-09,QuickBooks,984108,3445.74,139.55,3306.19,paid,sale,product,partial
500190,1004,2025-03-13,Stripe,907698,9482.82,328.11,9154.71,paid,sale,subscription,paid_out
500191,1002,2025-01-04,PayPal,966287,6711.53,304.03,6407.5,paid,sale,wholesale,paid_out
500192,1024,2025-12-04,PayPal,936010,1042.42,21.06,1021.36,paid,sale,wholesale,paid_out
500193,1024,2025-04-02,QuickBooks,946457,182.85,4.19,178.66,paid,sale,wholesale,paid_out
500194,1012,2025-08-24,Stripe,985686,3042.51,151.21,2891.3,paid,sale,subscription,pending
500195,1005,2025-07-27,QuickBooks,965517,5451.37,199.52,5251.85,paid,sale,subscription,paid_out
500196,1005,2025-09-28,QuickBooks,935532,11272.37,303.23,10969.14,paid,sale,subscription,paid_out
500197,1014,2025-04-02,QuickBooks,993416,4679.45,137.58,4541.87,refunded,sale,product,paid_out
500198,1024,2025-10-16,Stripe,999039,379.7,17.09,362.61,pending,sale,service,paid_out
500199,1023,2025-01-28,Stripe,978067,169.09,4.57,164.52,paid,sale,service,paid_out
500200,1016,2025-08-19,QuickBooks,986595,748.64,22.98,725.66,paid,sale,product,paid_out
500201,1012,2025-02-07,QuickBooks,941507,869.17,21.38,847.79,paid,sale,wholesale,paid_out
500202,1002,2025-07-04,QuickBooks,967166,8374.3,193.45,8180.85,paid,sale,subscription,paid_out
500203,1003,2025-11-02,Shopify,911101,11735.35,348.54,11386.81,paid,sale,product,paid_out
500204,1024,2025-12-17,Stripe,956973,821.21,19.87,801.34,paid,sale,service,paid_out
500205,1011,2025-05-09,QuickBooks,917758,4749.0,197.56,4551.44,paid,sale,wholesale,paid_out
500206,1001,2025-06-18,Shopify,939378,5917.71,194.69,5723.02,paid,sale,wholesale,paid_out
500207,1002,2025-06-10,QuickBooks,975481,3908.93,124.69,3784.24,paid,sale,wholesale,paid_out
500208,1013,2025-07-06,Shopify,972102,860.62,31.76,828.86,paid,sale,wholesale,paid_out
500209,1001,2025-05-30,Shopify,918242,10481.54,231.64,10249.9,paid,sale,wholesale,paid_out
500210,1003,2025-07-13,QuickBooks,990663,3115.83,154.86,2960.97,paid,sale,subscription,paid_out
500211,1010,2025-02-25,QuickBooks,984545,3960.29,157.22,3803.07,paid,sale,wholesale,paid_out
500212,1013,2025-02-24,NetSuite,975397,547.46,15.22,532.24,paid,sale,product,paid_out
500213,1012,2025-06-26,NetSuite,995702,4241.21,146.32,4094.89,refunded,refund,product,paid_out
500214,1003,2025-09-24,Stripe,939356,7346.33,251.98,7094.35,paid,sale,service,paid_out
500215,1014,2025-11-28,NetSuite,972339,1388.98,61.12,1327.86,paid,sale,product,paid_out
500216,1004,2025-07-27,Stripe,925863,7367.67,188.61,7179.06,paid,sale,product,paid_out
500217,1005,2025-04-16,NetSuite,970371,5505.1,226.26,5278.84,paid,sale,subscription,pending
500218,1015,2025-05-15,NetSuite,951451,3518.16,122.08,3396.08,paid,sale,product,paid_out
500219,1012,2025-12-11,QuickBooks,915448,5147.73,148.77,4998.96,paid,sale,product,paid_out
500220,1021,2025-09-19,Shopify,970435,597.98,22.66,575.32,paid,sale,product,paid_out
500221,1013,2025-09-08,NetSuite,901256,1799.76,46.07,1753.69,paid,sale,wholesale,pending
500222,1010,2025-07-29,Stripe,904044,3043.96,98.93,2945.03,paid,sale,service,paid_out
500223,1002,2025-04-26,QuickBooks,972053,7838.48,195.96,7642.52,paid,sale,service,paid_out
500224,1005,2025-10-05,Shopify,913423,10403.5,220.55,10182.95,paid,sale,service,partial
500225,1004,2025-01-17,QuickBooks,931056,7047.59,214.95,6832.64,paid,sale,wholesale,partial
500226,1004,2025-03-26,QuickBooks,969767,8545.36,371.72,8173.64,paid,sale,service,paid_out
500227,1029,2025-05-29,Stripe,917771,869.78,42.27,827.51,refunded,refund,service,pending
500228,1006,2025-12-02,Shopify,999807,1499.4,68.97,1430.43,paid,sale,service,pending
500229,1023,2025-11-18,QuickBooks,967582,890.37,29.92,860.45,pending,sale,wholesale,paid_out
500230,1012,2025-09-07,Stripe,960089,1972.8,39.65,1933.15,paid,sale,wholesale,paid_out
500231,1017,2025-04-22,NetSuite,971737,1452.99,64.95,1388.04,paid,sale,service,paid_out
500232,1009,2025-12-16,Shopify,920707,5502.2,117.75,5430.25,paid,sale,product,paid_out
500233,1010,2025-11-29,Shopify,910803,2601.75,120.2,2481.55,paid,sale,subscription,paid_out
500234,1008,2025-07-22,Shopify,,2817.94,117.79,2700.15,paid,sale,product,paid_out
500235,1003,2025-09-23,Shopify,955353,9119.84,185.13,8934.71,paid,sale,wholesale,partial
500236,1014,2025-02-15,Shopify,998717,3788.44,87.51,3700.93,pending,sale,subscription,paid_out
500237,1004,2025-09-29,NetSuite,998077,8069.62,309.07,7760.55,paid,sale,product,paid_out
500238,1001,2025-02-14,QuickBooks,956280,11069.34,267.88,10801.46,paid,sale,subscription,paid_out
500239,1012,2025-05-08,PayPal,986298,2990.28,113.63,2876.65,paid,sale,product,paid_out
500240,1003,2025-07-20,Stripe,914777,4810.9,103.92,4706.98,refunded,refund,subscription,paid_out
500241,1027,2025-07-04,Stripe,989514,1192.16,28.61,1163.55,paid,sale,subscription,paid_out
500242,1028,2025-10-28,NetSuite,966402,124.61,3.48,121.13,paid,sale,wholesale,pending
500243,1025,2025-12-26,Shopify,910357,865.7,33.94,831.76,paid,sale,service,paid_out
500244,1005,2025-07-20,Stripe,957342,7036.24,301.85,6734.39,paid,sale,product,paid_out
500245,1001,2025-02-14,Shopify,986252,11321.65,266.06,11055.59,paid,sale,subscription,paid_out
500246,1026,2025-03-25,QuickBooks,948741,757.21,23.02,734.19,paid,sale,subscription,paid_out
500247,1007,2025-01-16,QuickBooks,982251,2007.55,66.05,1941.5,paid,sale,subscription,partial
500248,1028,2025-09-13,PayPal,988358,1292.56,32.31,1260.25,paid,sale,subscription,held
500249,1028,2025-01-23,PayPal,923456,1291.57,26.35,1265.22,paid,sale,wholesale,held
500250,1021,2025-04-25,Stripe,948864,499.66,16.24,483.42,paid,sale,product,paid_out
500251,1004,2025-04-25,Stripe,937002,10239.04,505.81,9733.23,paid,sale,wholesale,paid_out
500252,1006,2025-01-05,Shopify,948270,2160.14,62.0,2098.14,paid,sale,product,paid_out
500253,1021,2025-03-19,QuickBooks,901257,34.41,1.11,49.03,paid,sale,subscription,pending
500254,1005,2025-04-16,Shopify,993277,7768.33,210.52,7557.81,paid,sale,wholesale,partial
500255,1003,2025-12-25,PayPal,983521,15484.28,523.37,14960.91,paid,sale,subscription,paid_out
500256,1010,2025-08-11,QuickBooks,951505,3481.0,83.2,3397.8,pending,sale,wholesale,held
500257,1026,2025-05-20,NetSuite,913848,369.58,17.85,351.73,paid,sale,subscription,paid_out
500258,1014,2025-10-02,PayPal,911851,2112.29,91.04,2021.25,paid,sale,subscription,pending
500259,1010,2025-04-21,Shopify,967300,4261.66,127.0,4134.66,paid,sale,subscription,paid_out
500260,1002,2025-07-27,Shopify,918322,9087.7,333.52,8754.18,paid,sale,product,paid_out
500261,1011,2025-04-12,Stripe,933924,4206.53,131.24,4075.29,paid,sale,product,paid_out
500262,1030,2025-11-27,PayPal,905596,950.69,22.72,927.97,paid,sale,wholesale,paid_out
500263,1002,2025-07-22,Stripe,936042,6345.37,199.88,6145.49,paid,sale,product,held
500264,1009,2025-11-28,PayPal,917987,2559.16,82.92,2476.24,paid,sale,product,paid_out
500265,1023,2025-11-19,QuickBooks,963527,2087.79,186.02,1901.77,paid,sale,wholesale,paid_out
500266,1015,2025-05-19,QuickBooks,907679,1309.17,38.75,1270.42,pending,sale,product,paid_out
500267,1014,2025-03-23,PayPal,907328,950.6,37.74,912.86,paid,sale,wholesale,held
500268,1014,2025-07-01,Stripe,996744,4002.16,198.91,3803.25,paid,sale,service,paid_out
500269,1005,2025-10-18,Stripe,964517,8072.46,297.87,7774.59,chargeback,adjustment,subscription,held
500270,1004,2025-01-29,Shopify,926406,5093.61,135.49,4958.12,paid,sale,service,held
500271,1018,2025-01-31,NetSuite,947826,57.32,2.16,55.16,paid,sale,subscription,pending
500272,1018,2025-06-22,PayPal,963858,399.59,9.63,389.96,refunded,refund,service,pending
500273,1022,2025-04-25,PayPal,923292,1006.66,44.7,961.96,paid,sale,wholesale,paid_out
500274,1025,2025-10-18,QuickBooks,974127,72.76,2.77,69.99,refunded,refund,subscription,paid_out
500275,1009,2025-05-02,NetSuite,987821,2060.65,61.0,1999.65,refunded,refund,subscription,pending
500276,1009,2025-05-16,Shopify,906310,1443.58,58.9,1384.68,paid,sale,wholesale,paid_out
500277,1017,2025-09-10,Shopify,975766,1325.61,40.43,1285.18,paid,sale,wholesale,pending
500278,1012,2025-02-07,Stripe,949212,4096.38,340.41,3755.97,paid,sale,service,paid_out
500279,1014,2025-11-01,Stripe,979602,6907.24,323.26,6583.98,paid,sale,service,paid_out
500280,1017,2025-04-16,Stripe,986585,1462.24,47.23,1415.01,refunded,refund,wholesale,paid_out
500281,1023,2025-10-20,Stripe,986772,835.75,29.0,806.75,paid,sale,subscription,paid_out
